marca ,modelo ,potencia ,tensao_circuito_aberto,tensao_maxima_potencia,corrente_maxima_potencia,corrente_curto_circuito,eficiencia,rendimento_ano_1,rendimento_ano_25,peso,largura,altura
DAH,DHM-72X10-525,525,49.2,41.4,12.68,13.48,0.2031,0.98,848,29,2.28,1.13
DAH,DHM-72X10-530,530,49.4,41.6,12.74,13.54,0.2051,0.98,848,29,2.28,1.13
DAH,DHM-72X10-535,535,49.6,41.8,12.8,13.6,207,0.98,848,29,2.28,1.13
DAH,DHM-72X10-540,540,49.8,42,12.86,13.66,0.2089,0.98,848,29,2.28,1.13
DAH,DHM-72X10-545,545,50,42.2,12.91,13.72,0.2109,0.98,848,29,2.28,1.13
DAH,DHM-72X10-550,550,50.2,42.4,12.97,13.78,0.2128,0.98,848,29,2.28,1.13
DAH,DHM-72X10-555,555,50.4,42.6,13.03,13.84,0.2148,0.98,848,29,2.28,1.13
DAH,DHM-72X10-560,560,50.4,42.8,13.09,13.9,0.2167,0.98,848,29,2.28,1.13
DAH,DHM-72X10-525,525,49.2,41.4,12.68,13.48,0.2031,0.98,848,29,2.28,1.13
DAH,DHM-72X10-530,530,49.4,41.6,12.74,13.54,0.2051,0.98,848,29,2.28,1.13
DAH,DHM-72X10-535,535,49.6,41.8,12.8,13.6,207,0.98,848,29,2.28,1.13
DAH,DHM-72X10-540,540,49.8,42,12.86,13.66,0.2089,0.98,848,29,2.28,1.13
DAH,DHM-72X10-545,545,50,42.2,12.91,13.72,0.2109,0.98,848,29,2.28,1.13
DAH,DHM-72X10-550,550,50.2,42.4,12.97,13.78,0.2128,0.98,848,29,2.28,1.13
DAH,DHM-72X10-555,555,50.4,42.6,13.03,13.84,0.2148,0.98,848,29,2.28,1.13
DAH,DHM-72X10-560,560,50.4,42.8,13.09,13.9,0.2167,0.98,848,29,2.28,1.13
DAH,DHM-72X10-525,525,49.2,41.4,12.68,13.48,0.2031,0.98,848,29,2.28,1.13
DAH,DHM-72X10-530,530,49.4,41.6,12.74,13.54,0.2051,0.98,848,29,2.28,1.13
DAH,DHM-72X10-535,535,49.6,41.8,12.8,13.6,207,0.98,848,29,2.28,1.13
DAH,DHM-72X10-540,540,49.8,42,12.86,13.66,0.2089,0.98,848,29,2.28,1.13
DAH,DHM-72X10-545,545,50,42.2,12.91,13.72,0.2109,0.98,848,29,2.28,1.13
DAH,DHM-72X10-550,550,50.2,42.4,12.97,13.78,0.2128,0.98,848,29,2.28,1.13
DAH,DHM-72X10-555,555,50.4,42.6,13.03,13.84,0.2148,0.98,848,29,2.28,1.13
DAH,DHM-72X10-560,560,50.4,42.8,13.09,13.9,0.2167,0.98,848,29,2.28,1.13
